,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
98,0.338,177.765,0.388,rock,-10.054,0.248,0.478,4,0.0329,76,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,1977-01-01,3.73e-06,1,10,303373,0.652,classic
99,0.7,188.386,0.31,rock,-5.678,0.0828,0.763,4,0.047,83,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,1980-07-25,0.00965,1,9,255493,0.011,classic
100,0.691,137.145,0.548,rock,-13.553,0.144,0.667,4,0.0369,74,4KfSdst7rW39C0sfhArdrz,Barracuda,1977-05-14,0.106,0,4,261933,0.015,classic
101,0.532,136.576,0.601,rock,-9.119,0.0925,0.342,4,0.0286,79,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972-05-19,5.95e-06,1,10,281613,0.433,classic
102,0.641,203.006,0.256,rock,-10.283,0.0853,0.382,4,0.0552,79,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,1993-09-21,0.0329,1,1,281160,0.199,classic
103,0.755,109.535,0.667,rock,-7.246,0.0523,0.883,4,0.069,68,6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,1976-12-08,6.94e-05,1,9,286220,0.0966,classic
104,0.373,92.718,0.671,rock,-18.064,0.0481,0.732,4,0.0323,83,2374M0fQpWi3dLnB54qaLX,Africa,1982-04-08,8.01e-05,1,9,295893,0.257,classic
105,0.927,141.466,0.333,rock,-8.55,0.297,0.385,4,0.0733,75,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,1976-01-01,0.000208,0,9,308120,0.0029,classic
106,0.787,126.879,0.767,rock,-9.897,0.0513,0.964,4,0.0331,77,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,1995-01-01,0.583,1,3,266200,0.0163,classic
107,0.366,127.163,0.472,rock,-12.595,0.0837,0.171,4,0.0286,71,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,1979-11-30,0.312,0,11,382297,0.15,classic
108,0.864,81.394,0.437,rock,-7.842,0.242,0.749,4,0.0904,69,3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,1971-11-08,0.0314,0,4,295387,0.396,classic
109,0.584,170.411,0.509,rock,-4.907,0.384,0.685,4,0.057,69,6y20BV5L33R8YXM0YuI38N,No One Knows,2002-01-01,9.96e-05,1,0,278747,0.0368,classic
110,0.912,117.399,0.575,rock,-7.275,0.0562,0.843,4,0.0393,69,4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',1973-01-01,0.00211,0,7,207267,0.0916,classic
111,0.611,85.387,0.654,rock,-10.45,0.405,0.786,4,0.119,69,5PntSbMHC1ud6Vvl8x56qd,Loser,1994-03-01,0.000178,1,2,235000,0.0337,classic
112,0.482,138.453,0.529,rock,-11.709,0.0842,0.492,4,0.0599,74,1fDsrQ23eTAVFElUMaf38X,American Pie,1971-01-01,0.0,0,4,516893,0.7,classic
113,0.748,134.114,0.618,rock,-8.905,0.0473,0.663,4,0.358,77,3EYOJ48Et32uATr9ZmLnAo,Roxanne,1978-11-02,4.1e-06,1,0,191947,0.0384,classic
114,0.7,147.245,0.586,rock,-9.558,0.0318,0.897,4,0.0363,69,1HOMkjp0nHMaTnfAkslCQj,My Sharona,1979-01-01,0.00125,1,0,295400,0.0589,classic
115,0.318,104.522,0.575,rock,-16.729,0.0934,0.385,4,0.109,74,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,1972-12-01,0.000202,1,0,254173,0.683,classic
116,0.706,80.823,0.445,rock,-9.803,0.205,0.768,4,0.0461,70,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,1976-01-01,0.000252,1,8,266720,0.234,classic
